title,summary,description,start_datetime,end_datetime,timezone,all_day,modality,country_code,city,venue_name,address,latitude,longitude,registration_url,livestream_url,organizer_name,affiliation,contact_person,contact_email,contact_phone,languages,accessibility,audience,cost_type,cost_amount,currency,cover_image_url,tags,campaign_id,verification,status
"Global Plastics Treaty Civil Society Forum","Strategic convening of NGOs and advocates ahead of treaty negotiations","Critical gathering of civil society organizations to coordinate advocacy for the Global Plastics Treaty negotiations. Sessions on: treaty language analysis, negotiation strategy, media engagement, grassroots mobilization, and coalition building. Develop unified positions and action plans. Closed event for accredited organizations.",2025-10-05T08:00:00Z,2025-10-07T18:00:00Z,Asia/Bangkok,false,hybrid,TH,Bangkok,United Nations Conference Center,"Rajdamnern Nok Avenue, Bangkok",13.763670,100.502010,https://example.com/treaty-forum,https://zoom.us/j/treatyforum,GAIA Asia Pacific,GAIA Member,Dr. Priya Singh,priya@gaia-asiapacific.org,+66-2-234-5678,"{English,French,Spanish}","{wheelchair-accessible,live-captioning,sign-language}","{advocates,policymakers,researchers,professionals}",free,0,THB,https://images.unsplash.com/photo-1573164713714-d95e436ab8d6,"{policy,advocacy,international,treaty}",global-plastics-treaty,verified_gaia,published
"Plastics Treaty Public Education Campaign","Month-long awareness campaign about the Global Plastics Treaty","Help spread the word about the historic Global Plastics Treaty! This campaign provides: educational webinars, social media toolkits, infographics in 15 languages, template letters to government officials, petition drives, and local action guides. Engage your community and advocate for a strong treaty that ends plastic pollution.",2025-10-01T00:00:00Z,2025-10-31T23:59:59Z,Asia/Manila,true,online,PH,Manila,,,14.599512,120.984222,https://example.com/treaty-campaign,https://zoom.us/j/treatycampaign,Break Free From Plastic Asia,Ally/Partner,Carlos Mendoza,carlos@breakfree-asia.org,+63-917-456-7890,"{English,Filipino,Indonesian,Thai,Vietnamese}","{live-captioning,recorded-sessions,multilingual}","{all-ages,advocates,students}",free,0,PHP,https://images.unsplash.com/photo-1556761175-5973dc0f32e7,"{campaign,education,advocacy,online}",global-plastics-treaty,verified_org,published
"Scientists & Researchers Briefing on Plastics Treaty","Technical briefing on latest research informing treaty negotiations","Expert presentation of cutting-edge research on plastic pollution impacts, solutions, and policy recommendations. Topics: microplastics in human health, marine ecosystem impacts, chemical additives, circular economy modeling, and policy effectiveness. Q&A with leading researchers. Support evidence-based treaty language.",2025-10-15T13:00:00Z,2025-10-15T15:00:00Z,Asia/Singapore,false,online,SG,Singapore,,,1.352083,103.819839,https://example.com/treaty-science,https://zoom.us/j/treatyscience,Asian Scientists Against Plastic Pollution,Public,Dr. Wei Chen,wei@scientistsagainstplastic.org,+65-6345-6789,"{English}","{live-captioning,recorded-session}","{researchers,scientists,policymakers,students}",free,0,SGD,https://images.unsplash.com/photo-1532094349884-543bc11b234d,"{webinar,science,research,policy}",global-plastics-treaty,community,published
"Youth Voices for Plastics Treaty","Youth summit to amplify young voices in treaty negotiations","Young people will inherit the plastic pollution crisis - ensure your voice is heard! This youth summit features: training on policy advocacy, media skills, meeting with negotiators, developing youth position paper, and organizing actions. For participants ages 15-30. Travel scholarships available for delegates to attend actual negotiations.",2025-10-20T09:00:00Z,2025-10-22T17:00:00Z,Asia/Jakarta,false,hybrid,ID,Jakarta,Universitas Indonesia Campus,"Depok, West Java",-6.361790,106.823040,https://example.com/treaty-youth,https://zoom.us/j/treatyyouth,Asia Pacific Youth for Environment,Public,Maya Putri,maya@apye.org,+62-21-7890-1234,"{English,Indonesian,Filipino}","{wheelchair-accessible,live-captioning}","{youth,students,ages-15-30}",free,0,IDR,https://images.unsplash.com/photo-1523050854058-8df90110c9f1,"{youth,summit,advocacy,international}",global-plastics-treaty,community,published
"Business Leaders Dialogue on Plastics Treaty","High-level dialogue on industry's role in implementing the treaty","Engage business leaders on their responsibility and opportunity in the Global Plastics Treaty. Discuss: extended producer responsibility, design for circularity, industry accountability, innovation investments, and fair transition. Featuring CEOs from packaging, retail, and waste management sectors. Media attendance invited.",2025-10-25T14:00:00Z,2025-10-25T17:00:00Z,Asia/Singapore,false,hybrid,SG,Singapore,Raffles City Convention Centre,"252 North Bridge Road, Singapore",1.294061,103.853260,https://example.com/treaty-business,https://zoom.us/j/treatybusiness,Responsible Business Alliance Asia,Other,Michael Tan,michael@rba-asia.org,+65-6456-7890,"{English}","{wheelchair-accessible,live-captioning}","{business-leaders,executives,professionals}",paid,500,SGD,https://images.unsplash.com/photo-1542744173-8e7e53415bb0,"{business,policy,dialogue,professional}",global-plastics-treaty,community,published
"COP30 Pre-Conference: Waste & Climate Nexus","Regional preparatory conference on waste sector's role in climate action","Prepare for COP30 with analysis of waste management's climate impacts and solutions. Topics: methane from landfills, circular economy for emissions reduction, waste-to-energy controversies, zero waste co-benefits, and NDC commitments. Develop regional position for COP30 negotiations. Government delegates and civil society.",2025-11-03T08:00:00Z,2025-11-05T18:00:00Z,Asia/Bangkok,false,hybrid,TH,Bangkok,Queen Sirikit National Convention Center,"New Rachadapisek Road, Bangkok",13.723220,100.559940,https://example.com/cop30-prep,https://stream.example.com/cop30-prep,Climate Action Network Asia,Ally/Partner,Sunita Patel,sunita@can-asia.org,+66-2-567-8901,"{English,Thai}","{wheelchair-accessible,live-captioning,sign-language}","{policymakers,advocates,researchers,professionals}",paid,1000,THB,https://images.unsplash.com/photo-1540575467063-178a50c2df87,"{climate,policy,conference,international}",cop-30,verified_org,published
"Zero Waste Climate Solutions Showcase","Exhibition of zero waste innovations reducing greenhouse gas emissions","Discover breakthrough zero waste solutions fighting climate change! Exhibition features: composting systems capturing methane, packaging-free retail models, circular business innovations, community-scale recycling, and more. Pitch competition for startups ($100000 prize). Technical workshops, investor meetings, and networking.",2025-11-08T10:00:00Z,2025-11-10T18:00:00Z,Asia/Manila,false,in_person,PH,Manila,Philippine International Convention Center,"CCP Complex, Pasay City",14.551290,120.986480,https://example.com/climate-showcase,,Climate Innovation Hub Philippines,Public,Ramon Garcia,ramon@climateinnov-ph.org,+63-2-8234-5678,"{English,Filipino}","{wheelchair-accessible}","{entrepreneurs,investors,professionals,students}",paid,500,PHP,https://images.unsplash.com/photo-1556761175-5973dc0f32e7,"{exhibition,innovation,climate,startup}",cop-30,community,published
"Community Climate Action: The Zero Waste Way","Training series on community-led zero waste climate solutions","Empower your community to fight climate change through zero waste! 4-week training covers: composting to reduce methane, community recycling systems, repair cafés, food waste prevention, and advocacy for systemic change. Includes toolkit, seed funding for projects ($500-2000), and 6-month mentorship. For community leaders.",2025-11-12T09:00:00Z,2025-12-05T12:00:00Z,Asia/Jakarta,false,hybrid,ID,Jakarta,,,,-6.208763,106.845599,https://example.com/community-climate,https://zoom.us/j/communityclimate,Indonesia Climate Community Network,Public,Siti Rahman,siti@iccn.org,+62-21-6789-0123,"{Indonesian,English}","{live-captioning,recorded-sessions}","{community-leaders,activists,all-ages}",free,0,IDR,https://images.unsplash.com/photo-1532996122724-e3c354a0b15b,"{training,community,climate,grants}",cop-30,community,published
"Youth Strike for Climate & Zero Waste","Global youth climate strike with zero waste demands","Join millions of young people worldwide demanding climate action and zero waste policies! Coordinated strikes across 50+ cities in Asia. March to government buildings, deliver petitions, hold die-ins, and present youth climate manifesto. All events zero waste with reusable signs and waste-free gatherings. Ages 13+.",2025-11-15T10:00:00Z,2025-11-15T16:00:00Z,Asia/Singapore,false,in_person,SG,Singapore,Hong Lim Park,"New Bridge Road, Singapore",1.287000,103.846390,https://example.com/youth-strike,,Fridays for Future Asia,Public,Sarah Lim,sarah@fff-asia.org,+65-9123-4567,"{English,Mandarin,Malay,Tamil}","{accessible-routes,first-aid-station}","{youth,students,families,ages-13+}",free,0,SGD,https://images.unsplash.com/photo-1569431284720-16b572fc4886,"{protest,youth,climate,strike}",cop-30,community,published
"COP30 Watch Party & Action Planning","Live streaming of COP30 negotiations with analysis and action planning","Can't attend COP30 in person? Join our watch party! Live stream key negotiations with expert commentary, discuss implications for our region, organize solidarity actions, draft post-COP advocacy plans, and connect with activists across Asia. Daily sessions throughout the conference. Snacks and coffee provided!",2025-11-20T08:00:00Z,2025-11-28T18:00:00Z,Asia/Kuala_Lumpur,false,hybrid,MY,Kuala Lumpur,Rumah Api Community Space,"Jalan Medan Setia, Kuala Lumpur",3.155690,101.711029,https://example.com/cop-watch-party,https://zoom.us/j/copwatchparty,Malaysian Youth Climate Coalition,Public,Amir Hassan,amir@mycc.org,+60-3-8901-2345,"{English,Malay}","{wheelchair-accessible,live-captioning}","{advocates,students,all-ages}",free,0,MYR,https://images.unsplash.com/photo-1611348586804-61bf6c080437,"{climate,online,advocacy,networking}",cop-30,community,published
